output_phase,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,denominator
0,156,16,5,0,0,0,0,0,1,0,0,0,0,0,5,16,199
1,16,156,16,5,0,0,0,0,0,1,0,0,0,0,0,5,199
2,5,16,156,16,5,0,0,0,0,0,1,0,0,0,0,0,199
3,0,5,16,156,16,5,0,0,0,0,0,1,0,0,0,0,199
4,0,0,5,16,156,16,5,0,0,0,0,0,1,0,0,0,199
5,0,0,0,5,16,156,16,5,0,0,0,0,0,1,0,0,199
6,0,0,0,0,5,16,156,16,5,0,0,0,0,0,1,0,199
7,0,0,0,0,0,5,16,156,16,5,0,0,0,0,0,1,199
8,1,0,0,0,0,0,5,16,156,16,5,0,0,0,0,0,199
9,0,1,0,0,0,0,0,5,16,156,16,5,0,0,0,0,199
10,0,0,1,0,0,0,0,0,5,16,156,16,5,0,0,0,199
11,0,0,0,1,0,0,0,0,0,5,16,156,16,5,0,0,199
12,0,0,0,0,1,0,0,0,0,0,5,16,156,16,5,0,199
13,0,0,0,0,0,1,0,0,0,0,0,5,16,156,16,5,199
14,5,0,0,0,0,0,1,0,0,0,0,0,5,16,156,16,199
15,16,5,0,0,0,0,0,1,0,0,0,0,0,5,16,156,199
