row_id,arm,gauge_center,candidate_id,sequence,operation
0,contextuality,0,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
1,contextuality,1,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
2,contextuality,2,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
3,contextuality,3,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
4,contextuality,4,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
5,contextuality,5,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
6,contextuality,6,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
7,contextuality,7,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
8,contextuality,8,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
9,contextuality,9,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
10,contextuality,10,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
11,contextuality,11,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
12,contextuality,12,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
13,contextuality,13,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
14,contextuality,14,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
15,contextuality,15,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
16,contextuality,16,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
17,contextuality,17,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
18,contextuality,18,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
19,contextuality,19,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
20,contextuality,20,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
21,contextuality,21,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
22,contextuality,22,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
23,contextuality,23,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
24,contextuality,24,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
25,contextuality,25,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
26,contextuality,26,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
27,contextuality,27,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
28,contextuality,28,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
29,contextuality,29,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
30,contextuality,30,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
31,contextuality,31,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
32,contextuality,32,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
33,contextuality,33,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
34,contextuality,34,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
35,contextuality,35,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
36,contextuality,36,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
37,contextuality,37,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
38,contextuality,38,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
39,contextuality,39,,,expand_gauge_cycle_to_dark_bright_36_nonstar_4_star_contexts
40,central_C3,,8,c_after_a,expand_candidate_swap_network_sequence
41,central_C3,,8,a_after_c,expand_candidate_swap_network_sequence
42,central_C3,,8,c_after_b,expand_candidate_swap_network_sequence
43,central_C3,,8,b_after_c,expand_candidate_swap_network_sequence
44,central_C3,,17,c_after_a,expand_candidate_swap_network_sequence
45,central_C3,,17,a_after_c,expand_candidate_swap_network_sequence
46,central_C3,,17,c_after_b,expand_candidate_swap_network_sequence
47,central_C3,,17,b_after_c,expand_candidate_swap_network_sequence
